"dealNo","oppName","oppValue","oppClosedate","custName","custAdd","custState","custCountry","custEmployee","custVM","custApps","custBudget","closeDate","submitterReseller","submitterName","submitterDesignation","submitterPhone","submitterEmail","submitterActivity","dealRegStatus","dealRegExpiredate","dealRegSubmitDate","dealRegARdate","dealRegARby","dealRegARreason"
74,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:16:05.000Z",,,
75,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:16:31.000Z",,,
76,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:22:00.000Z",,,
77,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:22:52.000Z",,,
78,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:23:08.000Z",,,
79,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:23:43.000Z",,,
80,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:24:45.000Z",,,
81,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:25:21.000Z",,,
82,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:27:54.000Z",,,
83,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:28:30.000Z",,,
84,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:39:30.000Z",,,
85,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:40:40.000Z",,,
86,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:41:16.000Z",,,
87,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:43:54.000Z",,,
88,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:47:48.000Z",,,
89,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:48:09.000Z",,,
90,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:48:30.000Z",,,
91,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:48:56.000Z",,,
92,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:49:18.000Z",,,
93,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:49:36.000Z",,,
94,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:50:04.000Z",,,
95,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:50:15.000Z",,,
96,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","pending",,"2021-02-03T06:50:31.000Z",,,
97,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","sckhoo@gmail.com","321","accept",,"2021-02-03T06:52:14.000Z","2021-03-05T02:06:50.000Z","sckhoo@gmail.com",
98,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","khoosc@avmcloud.net","321","pending",,"2021-02-03T06:52:47.000Z",,,
99,"321",321,"2021-03-16T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-04-28T16:00:00.000Z","321","321","321","32","sckhoo@gmail.com","321","reject",,"2021-02-15T08:08:30.000Z","2021-03-03T04:33:36.000Z","sckhoo@gmail.com","aaa"
100,"654",654,"2021-02-18T16:00:00.000Z","654","654","654","654","654",654,"654",654,"2021-02-26T16:00:00.000Z","654","654","654","654","sckhoo@gmail.com","654","reject",,"2021-02-15T08:09:46.000Z","2021-03-05T01:53:51.000Z","sckhoo@gmail.com","nothing"
101,"blah",666,"2021-02-26T16:00:00.000Z","666","666","666","666","666",666,"666",666,"2021-02-26T16:00:00.000Z","666","666","666","666","666@666.com","666","closed",,"2021-02-25T06:11:33.000Z","2021-03-03T04:33:22.000Z","sckhoo@gmail.com",
102,"blah",666,"2021-02-26T16:00:00.000Z","666","666","666","666","666",666,"666",666,"2021-02-26T16:00:00.000Z","666","666","666","666","666@666.com","666","closed",,"2021-02-25T06:12:56.000Z","2021-03-03T04:30:55.000Z","sckhoo@gmail.com","no way"
103,"blah",666,"2021-02-26T16:00:00.000Z","666","666","666","666","666",666,"666",666,"2021-02-26T16:00:00.000Z","666","666","666","666","sckhoo@gmail.com","666","closed",,"2021-02-25T06:21:34.000Z","2021-03-05T02:05:33.000Z","sckhoo@gmail.com",
104,"888",888,"2021-03-25T16:00:00.000Z","888","888","888","888","888",888,"888",888,"2021-03-25T16:00:00.000Z","888","888","888","888","sckhoo@gmail.com","888","reject",,"2021-03-04T12:56:40.000Z","2021-03-05T01:59:57.000Z","sckhoo@gmail.com",
105,"555",555,"2021-03-26T16:00:00.000Z","555","555","555","555","555",555,"555",555,"2021-03-26T16:00:00.000Z","555","555","555","555","sckhoo@gmail.com","555","reject",,"2021-03-04T13:03:05.000Z","2021-03-05T02:02:20.000Z","sckhoo@gmail.com","blah"
106,"999",999,"2021-03-12T16:00:00.000Z","999","999","999","999","999",999,"999",999,"2021-03-12T16:00:00.000Z","999","999","999","999","sckhoo@gmail.com","999","reject",,"2021-03-04T13:04:49.000Z","2021-03-05T01:58:15.000Z","sckhoo@gmail.com",
